rs_id	rs_stopid	rs_lat	rs_long	rs_desc	sub_id
238	19953	-37.89669508	145.0041684	Gowrie Railway Station 	308
239	19954	-37.88475311	145.0008979	Fawkner Railway Station 	305
240	19955	-37.87590643	144.9952366	Merlynston Railway Station 	307
241	19956	-37.86948773	144.9935121	Batman Railway Station 	302
242	19957	-37.85605308	144.9920352	Coburg Railway Station 	299
243	19958	-37.84951848	144.9898599	Moreland Railway Station 	298
244	19959	-37.83844935	144.9923422	Anstey Railway Station 	234
245	19960	-37.66607779	144.9467399	Brunswick Railway Station 	97
246	19961	-37.700678	144.9588743	Jewell Railway Station 	112
247	19962	-37.71462129	144.960545	Royal Park Railway Station 	92
248	19963	-37.72093389	144.9613135	Flemington Bridge Railway Station 	110
249	19964	-37.73352285	144.9628406	Macaulay Railway Station 	110
250	19965	-37.74234502	144.9633363	Clifton Hill Railway Station 	109
251	19966	-37.75448484	144.961823	Victoria Park Railway Station 	109
252	19967	-37.76124203	144.960684	Collingwood Railway Station 	107
253	19968	-37.76772055	144.9595865	North Richmond Railway Station 	107
254	19969	-37.77498702	144.9587169	West Richmond Railway Station 	107
255	19970	-37.78119293	144.9523013	Jolimont-MCG Railway Station 	102
256	19971	-37.78813995	144.9393233	Macleod Railway Station 	101
257	19972	-37.79426673	144.9361663	Watsonia Railway Station 	101
258	19973	-37.80630984	144.9415102	Greensborough Railway Station 	3
259	19974	-37.78865745	144.9954167	Montmorency Railway Station 	125
260	19975	-37.79915782	144.9944514	Eltham Railway Station 	124
261	19976	-37.80452593	144.9937497	Diamond Creek Railway Station 	124
262	19977	-37.81039836	144.9925003	Wattle Glen Railway Station 	190
263	19978	-37.81494896	144.9914228	Hurstbridge Railway Station 	190
264	19979	-37.81652702	144.9840983	Williamstown Railway Station 	2
265	19983	-37.7260123	145.0691433	Williamstown Beach Railway Station 	148
266	19984	-37.71095798	145.0837934	North Williamstown Railway Station 	150
267	19985	-37.70395408	145.1082474	Newport Railway Station 	153
268	19986	-37.71529624	145.1215157	Spotswood Railway Station 	159
269	19987	-37.71354967	145.147822	Yarraville Railway Station 	160
270	19988	-37.67329744	145.1585062	Seddon Railway Station 	155
271	19989	-37.66396792	145.1816145	Keilor Plains Railway Station 	163
272	19990	-37.63939817	145.1920169	St Albans Railway Station 	169
273	19991	-37.86775292	144.9053233	Ginifer Railway Station 	19
274	19992	-37.86398189	144.8944837	Albion Railway Station 	19
275	19993	-37.85733348	144.8890695	Epping Railway Station 	19
276	19994	-37.84271757	144.8835999	Lalor Railway Station 	16
277	19995	-37.83063888	144.8859335	Thomastown Railway Station 	18
278	19996	-37.81585044	144.8899337	Keon Park Railway Station 	15
279	19997	-37.80900514	144.8956716	Ruthven Railway Station 	9
