129,Transport,Railway Station,Flagstaff Railway Station,-37.81163844,144.9561187,3
130,Transport,Railway Station,Melbourne Central Railway Station,-37.80977593,144.9626701,1
131,Transport,Railway Station,Melbourne Central Railway Station,-37.81059924,144.9616906,1
132,Transport,Railway Station,Melbourne Central Railway Station,-37.810893,144.9631007,1
133,Transport,Railway Station,Flemington Racecourse Railway Station,-37.78691058,144.9081907,60
134,Transport,Railway Station,Showgrounds Railway Station Flemington,-37.78346512,144.9149026,58
135,Transport,Railway Station,Newmarket Railway Station,-37.78727262,144.92906,58
136,Place Of Assembly,Theatre Live,Athanaeum Theatre,-37.81495435,144.9673225,1
137,Leisure/Recreation,"Outdoor Recreation Facility Zoo, Golf Course",Riverside Park,-37.79483753,144.9156071,59
138,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Darling Square,-37.81299207,144.9890626,2
139,Place Of Assembly,Theatre Live,Carlton Courthouse Theatre,-37.79765899,144.9687501,103
140,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Flagstaff Gardens,-37.81112229,144.9546961,3
141,Leisure/Recreation,"Outdoor Recreation Facility Zoo, Golf Course",Melbourne Showgrounds,-37.78230979,144.9108221,60
142,Education Centre,Primary Schools,North Melbourne Primary School,-37.79867372,144.9510658,101
143,Place Of Assembly,Theatre Live,Her Majesty's Theatre,-37.81099756,144.9695202,1
144,Place Of Assembly,Theatre Live,Comedy Theatre,-37.81020539,144.9701331,1
145,Place Of Assembly,Theatre Live,La Mama Theatre,-37.7991305,144.9676695,103
146,Industrial,Industrial Manufacturing,Kraft,-37.82623131,144.9234757,344
147,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Fawkner Park,-37.84139967,144.9816257,234
148,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Fitzroy Gardens,-37.81296163,144.9804557,2
149,Place Of Assembly,Art Gallery/Museum,Sinclair's Cottage,-37.81454075,144.980555,2
150,Education Centre,Tertiary University,BIO 21 Institute,-37.79787433,144.9537803,102
151,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Enterprize Park,-37.82021027,144.9592769,1
152,Place Of Assembly,Art Gallery/Museum,Victoria Police Museum,-37.82221828,144.95404,7
